x,y,z
36.016,68.648,-0.0
36.063,68.736,-0.0
36.109,68.825,-0.0
36.156,68.913,-0.0
36.202,69.002,-0.0
36.248,69.09,-0.0
36.294,69.18,-0.0
36.341,69.268,-0.0
36.387,69.357,-0.0
36.434,69.445,-0.0
36.48,69.534,-0.0
36.526,69.622,-0.0
36.573,69.71,-0.0
36.619,69.799,-0.0
36.666,69.887,-0.0
36.712,69.977,-0.0
36.76,70.065,-0.0
36.808,70.152,-0.0
36.855,70.24,-0.0
36.902,70.328,-0.0
36.95,70.416,-0.0
36.998,70.503,-0.0
37.045,70.591,-0.0
37.093,70.68,-0.001
37.141,70.768,-0.001
37.187,70.857,-0.001
37.231,70.946,-0.001
37.276,71.036,-0.001
37.32,71.125,-0.001
37.368,71.213,-0.001
37.415,71.301,-0.001
37.462,71.389,-0.001
37.509,71.478,-0.001
37.555,71.567,-0.001
37.601,71.655,-0.001
37.647,71.744,-0.001
37.694,71.832,-0.001
37.74,71.921,-0.001
37.787,72.009,-0.001
37.833,72.098,-0.001
37.879,72.186,-0.001
37.926,72.276,-0.001
37.972,72.364,-0.001
38.019,72.453,-0.001
38.065,72.541,-0.001
38.112,72.63,-0.001
38.157,72.718,-0.001
38.204,72.807,-0.001
38.25,72.895,-0.001
38.297,72.983,-0.001
38.343,73.073,-0.001
38.39,73.161,-0.001
38.437,73.249,-0.001
38.483,73.338,-0.001
38.53,73.426,-0.001
38.576,73.515,-0.001
38.623,73.603,-0.001
38.67,73.692,-0.001
38.716,73.78,-0.001
38.763,73.869,-0.001
38.808,73.958,-0.001
38.855,74.046,-0.001
38.901,74.135,-0.001
38.948,74.223,-0.001
38.994,74.312,-0.001
39.041,74.4,-0.001
39.087,74.489,-0.001
39.134,74.577,-0.001
39.18,74.667,-0.001
39.227,74.755,-0.001
39.273,74.843,-0.001
39.32,74.932,-0.001
39.366,75.02,-0.001
39.411,75.109,-0.001
39.458,75.197,-0.001
39.504,75.286,-0.001
39.551,75.374,-0.001
39.599,75.463,-0.001
39.647,75.55,-0.001
39.695,75.638,-0.001
39.741,75.727,-0.001
39.786,75.816,-0.001
39.832,75.905,-0.001
39.877,75.994,-0.001
39.923,76.083,-0.001
39.968,76.172,-0.001
40.012,76.261,-0.001
40.058,76.351,-0.001
40.103,76.44,-0.001
40.15,76.529,-0.001
40.196,76.617,-0.001
40.243,76.706,-0.001
40.289,76.794,-0.001
40.336,76.883,-0.001
40.382,76.971,-0.001
40.428,77.06,-0.001
40.475,77.148,-0.001
40.521,77.238,-0.001
40.568,77.326,-0.001
40.613,77.415,-0.001
40.659,77.503,-0.001
40.706,77.592,-0.001
40.752,77.68,-0.001
40.8,77.768,-0.001
40.848,77.855,-0.001
40.896,77.944,-0.001
40.944,78.031,-0.001
40.992,78.119,-0.001
41.04,78.207,-0.001
41.087,78.295,-0.001
41.134,78.383,-0.001
41.181,78.471,-0.001
41.227,78.56,-0.001
